Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Κουκουλίστα,,Κρυονέρια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.6480239,21.9217121
Νίσβαρη,,Κοκκινοχώρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.5206014,21.963829
Αμόρανη,,Καταφύγι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,39.0,22.0
Μεβδέζα,,Παλαιόπυργος,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,76/1927,,40.0280786,20.4878575
Στρωμίνιανη,,Καλλονή,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.6822784,21.975808
Νερέτη,,Πολυπόταμον,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,179/1927,,40.71738,21.36698
Αρίνιστα,,Κτίσματα,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,179/1927,,39.8990841,20.3983661
Μετζητιές,,Κεφαλόβρυσον,,ΗΠΕΙΡΟΣ,ΙΩΑΝΝΙΝΩΝ,ΠΩΓΩΝΙΟΥ,76/1927,,39.0,22.0
Τσοραπλή,Τσορακλή,Αγγελόκαστρον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Κλέπε,,Λευκοχώριον,,ΜΑΚΕΔΟΝΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΛΑΓΚΑΔΑ,1927-07-01 00:00:00,,40.9267278,23.0692415
Δερεσελή,Δερεσλή,Πλαγιές,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Αρμουτσή,,Μεγάλη Βρύση,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.0077425,22.7950949
Κάτω Κάνιανη,,Αποστολιάς,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,38.7157235,22.4061481
Άνω Κάνιανη,,Οινοχώριον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Τοπόλια,,Ελαιών,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Άνω Αγόριανη,,Επτάλοφον,Επτάλοφος,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Κουκοβίτσα,Κουκκουβίτσα,Καλοσκοπή,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,38.6891681,22.3224644
Σουβάλα,,Πολύδροσον,Πολύδροσος,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,39.0,22.0
Χασάνοβο,,Μεσοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,179/1927,,40.8841381,21.5133846
Βρώστιανη,Βρόστιανη,Ριγάνι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,,38.456917,21.776717
Βοδόβιστα,,Βαλτόχωρο,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Γιουρετζίκ,,Γρανίτης,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3096795,23.9277077
Κουτσουμάδι,,Νεραϊδόβρυση,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.8835803,21.8787707
Γρίζι,,Ακριτοχώρι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.7984168,21.8428042
Αρμπατζίκ,Αραμπατζίκ,Στέρνα,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2544935,24.5809324
Χαϊκάλι,,Αχλαδοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Σκράνοβα,,Ραχούλλα,Ραχούλα,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Γκόρνοβα,,Βουνοπλαγιά,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3354239,24.5172782
Κιουρτσιλέρ,,Κρήνη,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2682207,24.5611494
Καρτζά Κιόι,,Θόλος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2962148,24.5207781
Γριβιτσά,,Ευαγγελισμός,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.8329991,21.7697609
Γιαπαπί,,Δενδρούλια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Δαούτι,,Περιβολάκια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,37.0475464,22.178987
Βέσμη,,Εξοχή,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.4118494,23.827812
Μπόρσα,Μπόρσια,Κορυφή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.1928276,21.23151
Ρεμούσταφα,,Αδριανή,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.8740591,21.8758846
Βιβίτσι,Βιβίστη,Εκκλησιά,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.149165,21.2554183
Ρούσοβον,,Μαυρολίθι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Μάνες,,Ανθρακιά,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,39.9238139,21.5208326
Γκριντάδες,,Αιμιλιανός,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,39.9621282,21.4388773
Ραβένια,,Μακρυπλάγι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.225003,24.26236
Ζερνοβίτσα,,Καστανόχωμα,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Κράνιτσα,,Δενδράκια,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2720152,24.1773487
Ιρενί,,Ασπρόγεια,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.3175199,22.6357606
Ραζενίκ,,Χαράδρα,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2905975,24.2500727
Τουφάλ,,Αετός,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Χανδήρ Κιόι,,Νεστοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Βρόγγιστα,Βρογγίστα,Καλονέρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2885969,21.4912063
Μπόρνικ,,Ασβεστόλιθος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Εφτελιά,,Φτελιά,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.0825118,24.1931985
Πεπελές,,Μυρσινερόν,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Γκιουστερέκ,,Χάρακας,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Μαχαλετζίκ,,Μυλόρρευμα,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Μπελοτίντσα,,Λευκόγεια,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.4053606,23.8952158
Τσιράκι,,Άγιος Κοσμάς,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,← Τσαράχι,40.1528799,21.2498367
Ασάν Μπαλάρ,,Ξηρόχωμα,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Κοντσικιότι,,Ελεύθερον,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,← Κουτσικιότι,40.15159,21.41926
Τσούρχλι,,Άγιος Γεώργιος,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.1956813,21.40746
Γκομπλάρι,,Μερσίνα,Μυρσίνα,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.0456,21.36452
Μπούρα,,Δοξαράς,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.064019,21.3944338
Στηχάζι,Στηζάχι,Αηδόνια,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.1935796,21.3203954
Μπαλιάγα,,Άμμος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1064714,22.001142
Μπουραζανλή,,Μυροβλήτης,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Νουσρατλή,,Νικηφόρος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1669432,24.3114538
Δράνοβον,,Μοναστηράκι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1880468,24.1694007
Γραμέντζα,,Γραμμένη,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2052976,23.892491
Καρλίκοβα,,Μικρόπολις,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2144364,23.82953791003519
Ράπες,,Δρεπάνι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Πύργος,,Πύργος Δυρού,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΟΙΤΥΛΟΥ,Β6/1927,,36.5135924,22.393898322157995
Λεϊλάρ,,Λυκίσκος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τίκλοβα,,Καστανιές,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.18553849292951,23.803416472167008
Κουρταλάρ,,Λυκοδιάσελλον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Πλέσια,,Μελίσσι,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,206/1927,,39.9752716,21.5018688
Γκόρτζογλι,,Αλώνια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1296092,22.0087006
Ντομπροσούλ,,Ξυλοκόπος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2561337,24.2461849
Γαρδίκι,,Άμφεια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1061773,22.0695577
Γλιάτα,,Ανεμόμυλος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1351785,22.0065088
Μπισμπάρδι,,Ασπροπουλιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1184459,22.0268319
Ορμανλή,,Πολύκαρπον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τσερνίτσα,,Αρτεμισία,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.0995956,22.2302237
Ντοβράτοβο,,Βατόλακκος,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,206/1927,← Νταβράτοβο,40.1527841,21.4819028
Πικριβενίτσα,,Αμυγδαλιές,Αμυγδαλέαι,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,206/1927,← Πρεβενίτσα,40.1564567,21.3745928
Κοτζαλάρ,,Άνυδρον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Ποδογορά,,Πουρναριά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΓΟΡΤΥΝΙΑΣ,179/1927,,37.7831456,22.0356626
Τούζι,,Αλατόπετρα,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.0674891,21.2207224
Μοιραλή,,Στρογγυλόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,→ Χρυσαυγή,40.31298,21.83445
Σίτσοβα,,Αλαγονία,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1073274,22.2438378
Μπούζγα,Μούζγα,Κουδούνια,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.0980179,24.1145829
Διζμηκλή,,Πηγάδια,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1184814,24.3037012
Αραπλή,,Βαθυχώρι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1083884,24.2871069
Πέλκα,,Πελεκάνος,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3673787,21.4655042
Καρά Τσαλή,,Μαυρόβατος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1113891,24.1443211
Τσιαραπιανή,,Γλυκοκερασιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2580743,21.2747875
Πλάζουμη,,Ομαλή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2579105,21.264929
Νιστήμιον,,Κουφοξυλιά,,ΜΑΚΕΔΟΝΙΑ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,179/1927,→ Νόστιμον,40.56295,21.25623
Κολαξήζι,,Σκοτούσα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.0,22.0
Μοιρασάνη,,Μόρφη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2113627,21.2068782
Γκινόσιον,,Μολόχα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3626556,21.3542504
Μπουτζάκ,,Βαθύσπηλον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Γιάγκοβα,,Μεσοπόταμον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Χιμιτλή,,Αγάπη,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Ισμαήλ,,Δρακονέρι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0191604,21.9537406
Τσιρούσινον,Τσιρούσιτον,Μικρόκαστρον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Μεσολογγόστι,Μεσολογγότσι,Μεσόλογγος,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3298671,21.246751
Σαρότσανη,Σαρότσιανη,Λεύκη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3003294,21.1977612
Αρναουτλί,,Άνω Σκοτούσα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.0,22.0
Χατζαλί,,Ξάγναντον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Λώπες,,Ανάργυροι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,→ Απιδέα,40.277838,21.1710564
Αϊδίνιον,,Αγριλιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0972407,21.9677194
Αλή Τσελεπή,,Τρίοδος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0926442,21.9808953
Χουτούριον,,Λευκοθέα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3100103,21.3035763
Μάγερ,,Δασύλλιον,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.1640945,21.1811481
Καρά Καβάκ,,Μαυρολεύκη,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.0552052,24.0999814
Γιαστόργιαννη,,Πολύπετρον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τραπαντούστιον,Τραπατούστιον,Κλεισώρεια,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3215664,21.1758135
Χορεβόν,Χορηβόν,Χορηγός,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3200059,21.3294723
Βάιπες,,Χειμερινόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Μεγάλη Αναστάσοβα,,Νέδουσα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1431322,22.2334315
Φραγκάτσι,Φουργκάτσιον,Κλήμα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2417555,21.4088293
Σουρδάνιον,,Αξιόκαστρον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Ζηκόβιστα,,Σπήλιος,,ΜΑΚΕΔΟΝΙΑ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,179/1927,,40.3576862,21.2036596
Μικρά Αναστάσοβα,,Πηγαί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,39.0,22.0
Μπάστα,,Πλατύ,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΚΑΛΑΜΩΝ,306/1927,,37.1419451,22.010398
Δουρακλή,,Τραχεία,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Ζουπάνιον,,Πετρόβουνος,Πετρόβουνον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Κετσιλίκ,,Μεσοκόρυφον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τσαγκλί,,Ερέτρεια,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.0,22.0
Λαμπάνοβον,,Σήμαντρον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Ραδοβίστι,,Κρυφόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Κύναμη,,Πολύλακκον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Δράμιστα,,Μακρυπλαγιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,→ Δάφνη,40.2850425,21.1487043
Κλεπίστιον,,Πολυκάστανον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Μπομπούστιον,Μπουμπούτσιον,Πλατανιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3808754,21.3496852
Λαμπανίτσα,Λαμπάνιτσα,Πλακίδα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3298498,21.2228371
Μαρτίτσιον,Μαρτίστιον,Περιστέρα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2850582,21.356863
Λάη,,Πεπονιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2926028,21.4100429
Ασαά Μαχαλέ,,Ευρύπεδον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Κασαπλή,,Υψηλόν,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Λούτιστα,,Κερασιώνας,Κερασώνα,ΜΑΚΕΔΟΝΙΑ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,179/1927,,40.56295,21.25623
Τοπτσιλάρ,,Άγιος Δημήτριος,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.26052405,21.55098265
Οκιούζ Οβά,,Σκάφη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3364156,22.0168806
Ιντέλοβα,,Αγία Άννα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,→ Αυλήαννα,40.444384150000005,21.356326107982454
Γενή Κιόι,,Άργιλλος,Άργιλος,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.31298,21.83445
