Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Λουζέστιον,,Ελάφιον,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.0,22.0
Βεργουβίτσα,,Μοναστήριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΑΙΓΙΑΛΕΙΑΣ,287/1955,,39.0,22.0
Φλιάκα Κερασιά,,Θεοτόκος,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.8488428,21.6044837
Ρόιδον,,Αμπελόκηποι,,ΕΠΤΑΝΗΣΑ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,287/1955,,37.7580081,20.8719489
Μπεντένιον,,Νεάπολις,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΗΛΕΙΑΣ,287/1955,,39.0,22.0
Καλολετζή,,Νεράιδα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΗΛΕΙΑΣ,287/1955,,37.7340777,21.6626532
Μαλίκα,Μαλίκης,Νησίον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΗΛΕΙΑΣ,287/1955,,39.0,22.0
Μπεσερέ,,Περιστέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΗΛΕΙΑΣ,287/1955,,39.0,22.0
Παλαιά Κουτσούφλιανη,,Πλάτανος,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,"→ Πλατάνιστος, → Κουτσούφλιανη",39.6601164,21.7685597
Νέα Κουτσούφλιανη,,Παναγία,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.4270718,21.5479075
Κοιλάδα,,Άγιος Νικόλαος,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,← Βερεντζή,39.5498255,21.3617253
Κοιλιωμένος,,Άγιος Νικόλαος,,ΕΠΤΑΝΗΣΑ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,287/1955,→ Κοιλιωμένος,37.905802800000004,20.711823997454303
Βαλμάδα,,Ανατολικόν,,ΜΑΚΕΔΟΝΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,157/1955,,40.5832112,22.9493302
Κούτσιον,,Χελιδόνιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,287/1955,,39.0,22.0
Κουκέσιον,,Καλλιθέα,,ΕΠΤΑΝΗΣΑ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,287/1955,,37.8104356,20.7701994
Καλέντζιον,,Κεραμίδιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,287/1955,,39.0,22.0
Καρούτια,,Αμπέλια,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,287/1955,,39.6933539,21.5175949
Ζάχα,,Καλλιθέα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,287/1955,,37.6629395,21.3298109
Βάλτοι,,Καμπάνης,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,287/1955,← Καρατζά Καδή,40.8895302,22.915774
Νέος Κουκλουτζάς,,Εύοσμον,,ΜΑΚΕΔΟΝΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,157/1955,,40.66591605,22.906427401942913
Βουμβουτσέλια,,Παναγίτσα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,287/1955,,36.6321501,22.9883901
Μονίτσια,,Ράχη,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ,287/1955,,37.0681098,25.482042
Κολαράς,,Νέα Μαραθέα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,39.0,22.0
Τόμπρα,,Προφήτης Ηλίας,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.8202307,22.5698358
Δρακοσπηλιά,,Θερμοπύλαι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,157/1955,,38.82284635,22.68629697916667
Καραμουτσαίικα,,Άγιος Βλάσιος,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.6137762,19.8635128
Λίμπερδον,,Πλάτανος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.7755596,22.4915198
Βουτουφού,,Λευκοχώριον,,ΚΡΗΤΗ,ΗΡΑΚΛΕΙΟΥ,ΜΟΝΟΦΑΤΣΙΟΥ,287/1955,,35.33978,25.13404
Αλιτζανή,,Αρχοντικόν,,ΚΡΗΤΗ,ΗΡΑΚΛΕΙΟΥ,ΜΟΝΟΦΑΤΣΙΟΥ,287/1955,,35.1572576,25.2590332
Τσαλικάκιον,,Αγία Μαρίνα,,ΚΡΗΤΗ,ΗΡΑΚΛΕΙΟΥ,ΜΑΛΕΒΙΖΙΟΥ,287/1955,,35.3274372,25.0897307
Μάνθεια,,Ιτέα,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΣΟΥΦΛΙΟΥ,287/1955,,40.9714606,26.1880107
Κουρτέσιον,,Μεσοβούνιον,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,,39.0,22.0
Κουλέντια,,Ελληνικόν,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,287/1955,,36.6136092,22.9835906
Σόλα,,Αστέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.7926213,22.455637364396534
Περλεψιμάδες,,Δάφνη,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.7298557,19.6983745
Πραταζία,,Αγία Παρασκευή,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,287/1955,,36.6655004,23.0264776
Γερμάνα,,Κρυόβρυση,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,287/1955,,36.6001919,22.9745224
Μαλακιοί,,Δροσάτο,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.7335094,19.7366439
Σαράκιον,,Ρήγιον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ,287/1955,← Σαρά κιοϊ,41.74316882916437,26.175939101496443
Τζαρής,,Πηγάδια,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.64099,19.83588
Βάρσοβα,,Αγία Ειρήνη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,37.097911,22.3683733
Ζούπενα,Ζούπαινα,Άγιοι Ανάργυροι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,37.0266254,22.6224567
Γοδένα,,Περιστέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,39.0,22.0
Τάραψα,,Βασιλάκιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,36.8860597,22.485308
Γκαγκανιά,,Μεταμόρφωσις,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,287/1955,,36.8398113,22.8463644
Σκουπίτσα,,Άγιος Γεώργιος,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,,39.5279555,20.3488277
Κουτσοχεράδο,,Χείμαρρος,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ,287/1955,,37.0616905,25.4706112
Άχαψη,,Γαλήνη,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ,287/1955,,37.1181146,25.4248695
Γιαννισαίοι,,Σταυρός,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΑΝΔΡΟΥ,287/1955,,37.7836148,24.9268096
Σασάς,,Ορεινόν,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΑΝΔΡΟΥ,287/1955,,37.83333,24.93333
Λιβάδιζα,,Άγιος Συμεών,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΑΝΔΡΟΥ,287/1955,,37.9454935,24.7983746
Σβόρνα,,Καλονέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΓΟΡΤΥΝΙΑΣ,54/1955,,39.0,22.0
Γαλτενά,,Αετοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,54/1955,,39.0,22.0
Αρτσίνα,,Προσήλια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,54/1955,,37.4382863,22.6457506
Κουμπίλα,,Λουλούδια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,54/1955,,37.4327251,22.6111257
Φούσκα,,Άγιος Παντελεήμων,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,54/1955,,37.3101335,22.6951773
Κανλί Καστελλίου,Κανλικαστέλλιον,Προφήτης Ηλίας,,ΚΡΗΤΗ,ΗΡΑΚΛΕΙΟΥ,ΤΕΜΕΝΟΥΣ,287/1955,,40.7798967,24.7198784
Ματσαγρά,Ματζαγράς,Άγιος Κωνσταντίνος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΜΑΝΤΙΝΕΙΑΣ,54/1955,,37.5243566,22.3938273
Καμίνια,,Δάφνη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,36.9438231,22.4572284
Σέλλιανη,Σέλιανη,Αγία Μαύρα,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,,39.5045645,20.4968723
Νέα Σέλλιανη,,Κρυσταλλοπηγή,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,,39.4930977,20.4628905
Τσεροβά,,Δροσοπηγή,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.6748409,22.4602452
Αλίπος,,Χαλίκια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.568719,22.4762884
Τσουρίλλα,,Αμυγδαλέα,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,→ Καλλιθέα,39.0,22.0
Βελενίκος,,Ελαία,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΔΩΡΙΔΟΣ,287/1955,,39.0,22.0
Σελλίτσα,Σέλιτσα,Λαγκάδα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.6978886,22.4648494
Φράγκα,,Βρύσαι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,39.0,22.0
Γκιζέλα,,Εξοχή,,ΘΡΑΚΗ,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,287/1955,← Καρά Γκιοζλού,41.0305576,24.8612755
Παλαβά,Παλοβά,Κρήνη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΓΥΘΕΙΟΥ,287/1955,,36.7997737,22.4695836
Μενίνα,,Νεράιδα,,ΗΠΕΙΡΟΣ,ΘΕΣΠΡΩΤΙΑΣ,ΣΟΥΛΙΟΥ,287/1955,,39.5243858,20.4347509
Φουντάνα,,Πλάτανος,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΠΑΞΩΝ,287/1955,,39.2108854,20.162627
Τζάστενη,,Αύρα,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,157/1955,,39.3501854,22.96404171399574
Νιάου,,Αφέται,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,157/1955,,39.0,22.0
Κριαλιάνικα,,Ομαλαί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΟΙΤΥΛΟΥ,287/1955,,39.0,22.0
Νουμπρεβίτσα,,Ελαιοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΟΙΤΥΛΟΥ,287/1955,,39.0,22.0
Κατούνοι,,Πηγή,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.41914128006411,20.084452244823808
Γιούρτσα,,Μεγάλη Βρύση,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,157/1955,,39.0,22.0
Μπάφιον,,Αγία Ελένη,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΤΡΟΙΖΗΝΙΑΣ,287/1955,,37.5531597,23.1908481
Μαχαλάς,,Αθέατον,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΣΚΟΠΕΛΟΥ,157/1955,,39.0,22.0
Μπούφι,,Ακρίτας,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,287/1955,,40.8155333,21.3024846
Πετσάτικα,,Λιβάδιον,,ΕΠΤΑΝΗΣΑ,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,287/1955,,39.64099,19.83588
Κουρτσούνα,,Βασιλική,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,36.8950448,22.4489921
Λέχοβον,,Ηρωϊκόν,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,157/1955,→ Λέχοβον,40.8014,21.48495
Πολιάνα,,Κρυονέριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,287/1955,,39.0,22.0
